run,Run Title,Alternative,NPV,IRR,AVE_IRI
86,T3Run44 Project Analysis,Regravelling,22623980,-9999.990234,6.570000172
87,T3Run45 Project Analysis,Upgrade,19043326,58.86000061,4.769999981
88,T3Run45 Project Analysis,Regravelling,24847952,-9999.990234,6.639999866
89,T3Run46 Project Analysis,Upgrade,18387556,57.45999908,4.670000076
90,T3Run46 Project Analysis,Regravelling,22120924,-9999.990234,6.590000153
91,T3Run47 Project Analysis,Upgrade,18843048,58.59999847,4.670000076
92,T3Run47 Project Analysis,Regravelling,19744418,-9999.990234,6.590000153
93,T3Run48 Project Analysis,Upgrade,21088016,63.5,4.940000057
94,T3Run48 Project Analysis,Regravelling,22279062,-9999.990234,6.71999979
95,T3Run49 Project Analysis,Upgrade,23933344,70.87000275,5.010000229
96,T3Run49 Project Analysis,Regravelling,18463288,523.2399902,6.75
97,T3Run50 Project Analysis,Upgrade,53840384,144.2100067,5.269999981
98,T3Run50 Project Analysis,Regravelling,65084516,-9999.990234,6.989999771
99,T3Run51 Project Analysis,Upgrade,52143040,140.3500061,5.150000095
100,T3Run51 Project Analysis,Regravelling,61013072,-9999.990234,6.929999828
101,T3Run52 Project Analysis,Upgrade,54915408,146.6900024,5.340000153
102,T3Run52 Project Analysis,Regravelling,66130904,-9999.990234,7.03000021
103,T3Run53 Project Analysis,Upgrade,53226656,143.0200043,5.199999809
104,T3Run53 Project Analysis,Regravelling,60001732,-9999.990234,6.949999809
105,T3Run54 Project Analysis,Regravelling,54348996,-9999.990234,6.949999809
106,T3Run54 Project Analysis,Minimum Maintenance (U),0,-9999.990234,18.55999947
107,T3Run55 Project Analysis,Upgrade,60029348,158.7599945,5.579999924
108,T3Run55 Project Analysis,Regravelling,60372648,-9999.990234,7.159999847
109,T3Run56 Project Analysis,Upgrade,66253668,174.9799957,5.670000076
110,T3Run56 Project Analysis,Regravelling,50954168,-9999.990234,7.210000038
111,T3Run57 Project Analysis,Upgrade,275142880,708.4099731,6.5
112,T3Run57 Project Analysis,Regravelling,305174560,-9999.990234,8.869999886
113,T3Run58 Project Analysis,Upgrade,266877600,687.710022,6.309999943
114,T3Run58 Project Analysis,Regravelling,288069504,-9999.990234,8.680000305
115,T3Run59 Project Analysis,Upgrade,280329856,721.4099731,6.599999905
116,T3Run59 Project Analysis,Regravelling,309240320,-9999.990234,8.970000267
117,T3Run60 Project Analysis,Upgrade,271884448,700.3900146,6.380000114
118,T3Run60 Project Analysis,Regravelling,315894528,-9999.990234,8.270000458
119,T3Run61 Project Analysis,Upgrade,276512160,712,6.369999886
120,T3Run61 Project Analysis,Regravelling,291909792,-9999.990234,8.260000229
121,T3Run62 Project Analysis,Upgrade,304614560,782.4000244,6.989999771
122,T3Run62 Project Analysis,Regravelling,318100512,-9999.990234,8.760000229
123,T3Run63 Project Analysis,Upgrade,332194144,851.5800171,7.130000114
124,T3Run63 Project Analysis,Regravelling,273860832,-9999.990234,8.880000114
125,T3Run64 Project Analysis,Upgrade,19235782,59.13000107,4.980000019
126,T3Run64 Project Analysis,Regravelling,27401592,-9999.990234,6.53000021
127,T3Run65 Project Analysis,Upgrade,18562636,57.68999863,4.900000095
128,T3Run65 Project Analysis,Regravelling,25528216,834.6300049,6.5
129,T3Run67 Project Analysis,Upgrade,18995946,58.68000031,4.929999828
130,T3Run67 Project Analysis,Regravelling,24955836,779.9000244,6.510000229
131,T3Run68 Project Analysis,Upgrade,19435710,59.77000046,4.920000076
132,T3Run68 Project Analysis,Regravelling,22179580,587.0499878,6.510000229
133,T3Run69 Project Analysis,Upgrade,21719656,64.61000061,5.199999809
134,T3Run69 Project Analysis,Regravelling,24836800,685.6900024,6.599999905
135,T3Run70 Project Analysis,Upgrade,24509804,71.84999847,5.269999981
136,T3Run70 Project Analysis,Regravelling,20611108,468.5599976,6.619999886
137,T3Run71 Project Analysis,Upgrade,54762656,145.75,5.460000038
138,T3Run71 Project Analysis,Regravelling,72442216,-9999.990234,6.809999943
139,T3Run72 Project Analysis,Upgrade,53034284,141.8800049,5.340000153
140,T3Run72 Project Analysis,Regravelling,67999344,-9999.990234,6.760000229
141,T3Run73 Project Analysis,Upgrade,55854380,148.2299957,5.53000021
142,T3Run73 Project Analysis,Regravelling,73556328,-9999.990234,6.840000153
143,T3Run74 Project Analysis,Upgrade,54097540,144.3800049,5.380000114
144,T3Run74 Project Analysis,Regravelling,66501748,-9999.990234,6.78000021
145,T3Run75 Project Analysis,Upgrade,55111864,146.9199982,5.380000114
146,T3Run75 Project Analysis,Regravelling,60166384,-9999.990234,6.78000021
147,T3Run76 Project Analysis,Upgrade,61000540,160.1300049,5.760000229
148,T3Run76 Project Analysis,Regravelling,66703368,-9999.990234,6.929999828
149,T3Run77 Project Analysis,Upgrade,67161056,176.1699982,5.849999905
150,T3Run77 Project Analysis,Regravelling,56491600,-9999.990234,6.96999979
151,T3Run78 Project Analysis,Upgrade,276879392,708.6300049,6.480000019
152,T3Run78 Project Analysis,Regravelling,344414048,-9999.990234,8.420000076
153,T3Run79 Project Analysis,Upgrade,268548928,687.9199829,6.289999962
154,T3Run79 Project Analysis,Regravelling,325226816,-9999.990234,8.260000229
155,T3Run80 Project Analysis,Upgrade,282101344,721.6199951,6.579999924
156,T3Run80 Project Analysis,Regravelling,348946208,-9999.990234,8.510000229
157,T3Run81 Project Analysis,Upgrade,273569344,700.4799805,6.369999886
158,T3Run81 Project Analysis,Regravelling,318104000,-9999.990234,8.319999695
159,T3Run82 Project Analysis,Upgrade,278193120,712.0900269,6.360000134
160,T3Run82 Project Analysis,Regravelling,294174208,-9999.990234,8.31000042
161,T3Run83 Project Analysis,Upgrade,306508704,782.4899902,6.96999979
162,T3Run83 Project Analysis,Regravelling,320641472,-9999.990234,8.819999695
163,T3Run84 Project Analysis,Upgrade,333997600,851.6599731,7.110000134
164,T3Run84 Project Analysis,Regravelling,276272256,-9999.990234,8.930000305
165,T3Run85 Project Analysis,Upgrade,18161286,57.36999893,5.28000021
166,T3Run85 Project Analysis,Regravelling,27043976,583.3800049,6.610000134
167,T3Run86 Project Analysis,Upgrade,17597884,56.15000153,5.190000057
168,T3Run86 Project Analysis,Regravelling,25347698,546.7700195,6.579999924
169,T3Run87 Project Analysis,Upgrade,18532768,58.18000031,5.320000172
170,T3Run87 Project Analysis,Regravelling,27376562,593.3200073,6.630000114
171,T3Run88 Project Analysis,Upgrade,17992588,57.06000137,5.21999979
172,T3Run88 Project Analysis,Regravelling,24654532,537.6500244,6.590000153
173,T3Run89 Project Analysis,Upgrade,18440862,58.18999863,5.21999979
174,T3Run89 Project Analysis,Regravelling,21868816,458.0299988,6.590000153
175,T3Run91 Project Analysis,Upgrade,23498944,70.26999664,5.559999943
176,T3Run91 Project Analysis,Regravelling,19954302,417.4299927,6.710000038
177,T3Run92 Project Analysis,Upgrade,51549256,139.3300018,5.690000057
178,T3Run92 Project Analysis,Regravelling,69531568,-9999.990234,6.889999866
179,T3Run93 Project Analysis,Upgrade,50094564,136.0700073,5.570000172
180,T3Run93 Project Analysis,Regravelling,65572804,-9999.990234,6.840000153
181,T3Run94 Project Analysis,Upgrade,52494268,141.4900055,5.75
182,T3Run94 Project Analysis,Regravelling,70404608,-9999.990234,6.920000076
183,T3Run95 Project Analysis,Upgrade,51061872,138.3500061,5.610000134
184,T3Run95 Project Analysis,Regravelling,63833184,-9999.990234,6.860000134
185,T3Run96 Project Analysis,Upgrade,52093144,140.9400024,5.599999905
186,T3Run96 Project Analysis,Regravelling,57561704,-9999.990234,6.860000134
187,T3Run97 Project Analysis,Upgrade,57087092,152.1900024,5.989999771
188,T3Run97 Project Analysis,Regravelling,62580548,-9999.990234,7.010000229
189,T3Run98 Project Analysis,Upgrade,64190504,170.3899994,6.079999924
190,T3Run98 Project Analysis,Regravelling,53432048,-9999.990234,7.050000191
191,T3Run99 Project Analysis,Upgrade,260594192,668.3699951,6.570000172
192,T3Run99 Project Analysis,Regravelling,319130336,-9999.990234,8.479999542
193,T3Run100 Project Analysis,Upgrade,253575696,650.9199829,6.380000114
194,T3Run100 Project Analysis,Regravelling,302113184,-9999.990234,8.319999695
195,T3Run101 Project Analysis,Upgrade,265112384,679.6199951,6.679999828
196,T3Run101 Project Analysis,Regravelling,322540352,-9999.990234,8.56000042
197,T3Run102 Project Analysis,Upgrade,258132720,662.2999878,6.449999809
198,T3Run102 Project Analysis,Regravelling,293828896,-9999.990234,8.380000114
199,T3Run103 Project Analysis,Upgrade,262837664,674.0999756,6.440000057
200,T3Run103 Project Analysis,Regravelling,270031904,-9999.990234,8.369999886
201,T3Run104 Project Analysis,Upgrade,286859648,733.8400269,7.059999943
202,T3Run104 Project Analysis,Regravelling,289484416,-9999.990234,8.880000114
203,T3Run106 Project Analysis,Upgrade,19626246,54.08000183,3.829999924
204,T3Run106 Project Analysis,Regravelling,17764096,-9999.990234,7.130000114
205,T3Run107 Project Analysis,Upgrade,18918662,52.66999817,3.779999971
206,T3Run107 Project Analysis,Regravelling,18050632,-9999.990234,6.699999809
207,T3Run108 Project Analysis,Upgrade,20155068,55.38000107,3.859999895
208,T3Run108 Project Analysis,Regravelling,18024402,-9999.990234,7.179999828
209,T3Run109 Project Analysis,Upgrade,19481930,54.11999893,3.799999952
210,T3Run109 Project Analysis,Regravelling,17628680,-9999.990234,6.730000019
211,T3Run110 Project Analysis,Upgrade,20096010,55.90999985,3.799999952
212,T3Run110 Project Analysis,Regravelling,15787684,847.9000244,6.71999979
213,T3Run111 Project Analysis,Upgrade,22775404,62.20999908,3.960000038
214,T3Run111 Project Analysis,Regravelling,17854250,-9999.990234,6.96999979
215,T3Run112 Project Analysis,Upgrade,26130974,70.76999664,4
216,T3Run112 Project Analysis,Regravelling,15955411,769.1900024,6.690000057
217,T3Run113 Project Analysis,Upgrade,58543764,139.9499969,4.289999962
218,T3Run113 Project Analysis,Regravelling,45335656,-9999.990234,7.940000057
219,T3Run114 Project Analysis,Upgrade,56728504,136.4900055,4.210000038
220,T3Run114 Project Analysis,Regravelling,47479016,-9999.990234,7.329999924
221,T3Run115 Project Analysis,Upgrade,59695040,142.1999969,4.329999924
222,T3Run115 Project Analysis,Regravelling,51203856,-9999.990234,7.510000229
223,T3Run116 Project Analysis,Upgrade,58216632,142.2299957,4.239999771
224,T3Run116 Project Analysis,Regravelling,46728828,-9999.990234,7.369999886
225,T3Run117 Project Analysis,Upgrade,59344720,144.8800049,4.230000019
226,T3Run117 Project Analysis,Regravelling,46434184,-9999.990234,6.96999979
227,T3Run118 Project Analysis,Upgrade,65646948,157.8699951,4.480000019
228,T3Run118 Project Analysis,Regravelling,51882156,-9999.990234,7.260000229
229,T3Run119 Project Analysis,Upgrade,72725968,175.9499969,4.539999962
230,T3Run119 Project Analysis,Regravelling,44065328,-9999.990234,7.320000172
231,T3Run120 Project Analysis,Upgrade,305374400,740.789978,5.590000153
232,T3Run120 Project Analysis,Regravelling,255953392,-9999.990234,9.399999619
233,T3Run121 Project Analysis,Upgrade,296224128,719.1400146,5.449999809
234,T3Run121 Project Analysis,Regravelling,241635552,-9999.990234,9.159999847
235,T3Run122 Project Analysis,Upgrade,311117408,754.3800049,5.670000076
236,T3Run122 Project Analysis,Regravelling,259240064,-9999.990234,9.529999733
237,T3Run123 Project Analysis,Upgrade,301923904,734.5499878,5.5
238,T3Run123 Project Analysis,Regravelling,265368064,-9999.990234,8.729999542
239,T3Run124 Project Analysis,Upgrade,307051904,746.75,5.489999771
240,T3Run124 Project Analysis,Regravelling,245610240,-9999.990234,8.710000038
241,T3Run125 Project Analysis,Upgrade,338208512,820.9799805,5.980000019
242,T3Run125 Project Analysis,Regravelling,267764368,-9999.990234,9.359999657
243,T3Run126 Project Analysis,Upgrade,368786080,893.9500122,6.090000153
244,T3Run126 Project Analysis,Regravelling,253784032,-9999.990234,9
245,T3Run127 Project Analysis,Upgrade,19626246,54.08000183,3.829999924
246,T3Run127 Project Analysis,Regravelling,17764096,-9999.990234,7.130000114
247,T3Run128 Project Analysis,Upgrade,18918662,52.66999817,3.779999971
248,T3Run128 Project Analysis,Regravelling,18050632,-9999.990234,6.699999809
249,T3Run130 Project Analysis,Upgrade,19481930,54.11999893,3.799999952
250,T3Run130 Project Analysis,Regravelling,17628680,-9999.990234,6.730000019
251,T3Run131 Project Analysis,Upgrade,20096010,55.90999985,3.799999952
252,T3Run131 Project Analysis,Regravelling,15787684,847.9000244,6.71999979
253,T3Run132 Project Analysis,Upgrade,22775404,62.20999908,3.960000038
254,T3Run132 Project Analysis,Regravelling,17854250,-9999.990234,6.96999979
255,T3Run133 Project Analysis,Upgrade,26130974,70.76999664,4
256,T3Run133 Project Analysis,Regravelling,15955411,769.1900024,6.690000057
257,T3Run134 Project Analysis,Upgrade,58543764,139.9499969,4.289999962
258,T3Run134 Project Analysis,Regravelling,45335656,-9999.990234,7.940000057
259,T3Run135 Project Analysis,Upgrade,56728504,136.4900055,4.210000038
260,T3Run135 Project Analysis,Regravelling,47479016,-9999.990234,7.329999924
261,T3Run136 Project Analysis,Upgrade,59695040,142.1999969,4.329999924
262,T3Run136 Project Analysis,Regravelling,51203856,-9999.990234,7.510000229
