Run Title,Alternative,NPV,IRR,AVE_IRI
T4Run1 Project Analysis,Reseal,2844795.0,16.270000457763672,4.179999828338623
T4Run1 Project Analysis,Overlay,10456282.0,29.270000457763672,2.6500000953674316
T4Run2 Project Analysis,Reseal,3009920.5,16.510000228881836,4.190000057220459
T4Run2 Project Analysis,Overlay,10973940.0,30.020000457763672,2.6600000858306885
T4Run3 Project Analysis,Reseal,2857973.5,16.309999465942383,4.190000057220459
T4Run3 Project Analysis,Overlay,10687080.0,29.65999984741211,2.6600000858306885
T4Run4 Project Analysis,Reseal,2968200.25,16.520000457763672,4.190000057220459
T4Run4 Project Analysis,Overlay,11294680.0,30.639999389648438,2.6600000858306885
T4Run5 Project Analysis,Reseal,2627229.75,16.100000381469727,4.190000057220459
T4Run5 Project Analysis,Overlay,10525387.0,29.65999984741211,2.6600000858306885
T4Run6 Project Analysis,Reseal,1580096.13,14.670000076293945,4.190000057220459
T4Run6 Project Analysis,Overlay,9388785.0,28.600000381469727,2.6600000858306885
T4Run7 Project Analysis,Reseal,351763.0,12.680000305175781,4.190000057220459
T4Run7 Project Analysis,Overlay,7210962.0,25.719999313354492,2.6600000858306885
T4Run8 Project Analysis,Reseal,61384476.0,44.04999923706055,3.890000104904175
T4Run8 Project Analysis,Overlay,85154848.0,79.52999877929688,2.5799999237060547
T4Run9 Project Analysis,Reseal,62459252.0,44.529998779296875,3.890000104904175
T4Run9 Project Analysis,Overlay,87256288.0,81.48999786376953,2.5899999141693115
T4Run10 Project Analysis,Reseal,61634540.0,44.34000015258789,3.890000104904175
T4Run10 Project Analysis,Overlay,86039184.0,80.63999938964844,2.5899999141693115
T4Run11 Project Analysis,Reseal,62352568.0,45.0099983215332,3.890000104904175
T4Run11 Project Analysis,Overlay,88140032.0,83.20999908447266,2.5899999141693115
T4Run12 Project Analysis,Reseal,59242096.0,44.7599983215332,3.890000104904175
T4Run12 Project Analysis,Overlay,83615856.0,80.75,2.5899999141693115
T4Run13 Project Analysis,Reseal,53210504.0,43.58000183105469,3.890000104904175
T4Run13 Project Analysis,Overlay,77340208.0,79.51000213623047,2.5899999141693115
T4Run14 Project Analysis,Reseal,44265100.0,41.91999816894531,3.890000104904175
T4Run14 Project Analysis,Overlay,65488796.0,73.80000305175781,2.5999999046325684
T4Run15 Project Analysis,Reseal,145445344.0,47.060001373291016,3.9100000858306885
