74,T7Run74 Project Analysis,Reconstruction,467870848,270.9899902,3.559999943
75,T7Run75 Project Analysis,Reconstruction,431582720,261.5499878,3.559999943
76,T7Run76 Project Analysis,Reconstruction,398640896,237.2599945,3.559999943
77,T7Run77 Project Analysis,Reconstruction,326270080,205.3099976,3.559999943
78,T7Run78 Project Analysis,Reconstruction,1459862912,-9999.990234,3.809999943
79,T7Run79 Project Analysis,Reconstruction,1453180160,-9999.990234,3.809999943
80,T7Run80 Project Analysis,Reconstruction,1456826496,-9999.990234,3.809999943
81,T7Run81 Project Analysis,Reconstruction,1415423872,-9999.990234,3.809999943
82,T7Run82 Project Analysis,Reconstruction,1297793408,866.7399902,3.809999943
83,T7Run83 Project Analysis,Reconstruction,1208952960,785.1300049,3.809999943
84,T7Run84 Project Analysis,Reconstruction,989670016,658.9299927,3.809999943
85,T7Run85 Project Analysis,Reconstruction,121515576,102.1299973,3.960000038
86,T7Run86 Project Analysis,Reconstruction,121055160,102.6399994,3.960000038
87,T7Run87 Project Analysis,Reconstruction,121257616,102.0899963,3.960000038
88,T7Run88 Project Analysis,Reconstruction,117745488,101.2600021,3.960000038
89,T7Run89 Project Analysis,Reconstruction,106896328,95.80000305,3.960000038
90,T7Run90 Project Analysis,Reconstruction,98191088,88.33000183,3.960000038
91,T7Run91 Project Analysis,Reconstruction,77457040,74.65000153,3.960000038
92,T7Run92 Project Analysis,Reconstruction,586528192,430.9299927,4.079999924
93,T7Run93 Project Analysis,Reconstruction,583666624,432.7200012,4.079999924
94,T7Run94 Project Analysis,Reconstruction,585243520,430.6000061,4.079999924
95,T7Run95 Project Analysis,Reconstruction,568097472,426.1000061,4.079999924
96,T7Run96 Project Analysis,Reconstruction,518978176,400.1099854,4.079999924
97,T7Run97 Project Analysis,Reconstruction,483624800,368.2399902,4.079999924
98,T7Run98 Project Analysis,Reconstruction,393334368,306.2799988,4.090000153
99,T7Run99 Project Analysis,Reconstruction,1617627520,-9999.990234,4.329999924
100,T7Run100 Project Analysis,Reconstruction,1607027072,-9999.990234,4.329999924
101,T7Run101 Project Analysis,Reconstruction,1613725952,-9999.990234,4.329999924
102,T7Run102 Project Analysis,Reconstruction,1561634816,-9999.990234,4.329999924
103,T7Run103 Project Analysis,Reconstruction,1423934848,-9999.990234,4.329999924
104,T7Run104 Project Analysis,Reconstruction,1332877568,-9999.990234,4.329999924
105,T7Run105 Project Analysis,Reconstruction,1088928384,-9999.990234,4.329999924
106,T7Run106 Project Analysis,Reconstruction,-2209707.5,10.21000004,2.329999924
107,T7Run107 Project Analysis,Reconstruction,-1470764.63,10.84000015,2.329999924
108,T7Run108 Project Analysis,Reconstruction,-1848279.38,10.52999973,2.329999924
109,T7Run109 Project Analysis,Reconstruction,-837300.31,11.35999966,2.329999924
110,T7Run110 Project Analysis,Reconstruction,-1662859.25,10.69999981,2.329999924
111,T7Run111 Project Analysis,Reconstruction,-2255694.25,10.14999962,2.329999924
112,T7Run112 Project Analysis,Reconstruction,-4350953,8.199999809,2.329999924
113,T7Run113 Project Analysis,Reconstruction,78712416,35.08000183,2.369999886
114,T7Run114 Project Analysis,Reconstruction,81701304,35.84999847,2.369999886
115,T7Run115 Project Analysis,Reconstruction,80006928,35.45000076,2.369999886
116,T7Run116 Project Analysis,Reconstruction,83735664,36.47999954,2.369999886
117,T7Run117 Project Analysis,Reconstruction,79023872,35.49000168,2.380000114
118,T7Run118 Project Analysis,Reconstruction,73634256,34.97000122,2.380000114
119,T7Run119 Project Analysis,Reconstruction,61052064,32.47000122,2.380000114
120,T7Run120 Project Analysis,Reconstruction,334719808,65.41000366,2.49000001
121,T7Run121 Project Analysis,Reconstruction,343250240,67.55999756,2.49000001
122,T7Run122 Project Analysis,Reconstruction,338756512,66.43000031,2.49000001
123,T7Run123 Project Analysis,Reconstruction,349171808,69.87999725,2.49000001
124,T7Run124 Project Analysis,Reconstruction,332415168,68.61000061,2.49000001
125,T7Run125 Project Analysis,Reconstruction,313335904,68.58999634,2.49000001
126,T7Run126 Project Analysis,Reconstruction,269283200,64.80000305,2.5
127,T7Run127 Project Analysis,Reconstruction,-1881338,10.51000023,2.329999924
128,T7Run128 Project Analysis,Reconstruction,-1138116.5,11.10999966,2.329999924
129,T7Run129 Project Analysis,Reconstruction,-1521047,10.80000019,2.329999924
130,T7Run130 Project Analysis,Reconstruction,-510412.94,11.63000011,2.329999924
131,T7Run131 Project Analysis,Reconstruction,-1349674.25,10.93999958,2.329999924
132,T7Run132 Project Analysis,Reconstruction,-1982487.88,10.40999985,2.329999924
133,T7Run133 Project Analysis,Reconstruction,-4122130.5,8.449999809,2.329999924
134,T7Run134 Project Analysis,Reconstruction,86522368,36.83000183,2.369999886
135,T7Run135 Project Analysis,Reconstruction,89549272,37.61999893,2.369999886
136,T7Run136 Project Analysis,Reconstruction,87834336,37.20000076,2.369999886
137,T7Run137 Project Analysis,Reconstruction,91467216,38.25,2.369999886
138,T7Run138 Project Analysis,Reconstruction,86112464,37.18000031,2.380000114
139,T7Run139 Project Analysis,Reconstruction,80276064,36.65999985,2.380000114
140,T7Run140 Project Analysis,Reconstruction,66540980,33.97000122,2.380000114
141,T7Run141 Project Analysis,Reconstruction,367135040,72.59999847,2.49000001
142,T7Run142 Project Analysis,Reconstruction,375752704,75,2.49000001
143,T7Run143 Project Analysis,Reconstruction,371182688,73.76000214,2.49000001
144,T7Run144 Project Analysis,Reconstruction,381005760,77.54000092,2.49000001
