Run,Run Title,Alternative,NPV,IRR,AVE_IRI
76,T7Run76 Project Analysis,Minimum Maintenance (B),-0.01,-9999.990234,12.73999977
77,T7Run77 Project Analysis,Minimum Maintenance (B),-0.01,-9999.990234,12.73999977
78,T7Run78 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.59000015
79,T7Run79 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.59000015
80,T7Run80 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.59000015
81,T7Run81 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.59000015
82,T7Run82 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.59000015
83,T7Run83 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.59000015
84,T7Run84 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.60000038
85,T7Run85 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.60999966
86,T7Run86 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.60999966
87,T7Run87 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.60999966
88,T7Run88 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.60999966
89,T7Run89 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.60999966
90,T7Run90 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.60999966
91,T7Run91 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.60999966
92,T7Run92 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.02000046
93,T7Run93 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.02000046
94,T7Run94 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.02000046
95,T7Run95 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.02000046
96,T7Run96 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.02000046
97,T7Run97 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.02000046
98,T7Run98 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.02999973
99,T7Run99 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.5
100,T7Run100 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.5
101,T7Run101 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.5
102,T7Run102 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.5
103,T7Run103 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.5
104,T7Run104 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.5
105,T7Run105 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.5
106,T7Run106 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.880000114
107,T7Run107 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.889999866
108,T7Run108 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.889999866
109,T7Run109 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.889999866
110,T7Run110 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.889999866
111,T7Run111 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.889999866
112,T7Run112 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.900000095
113,T7Run113 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.710000038
114,T7Run114 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.71999979
115,T7Run115 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.71999979
116,T7Run116 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.739999771
117,T7Run117 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.760000229
118,T7Run118 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.769999981
119,T7Run119 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.800000191
120,T7Run120 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.659999847
121,T7Run121 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.679999828
