Run Title,Alternative,NPV,IRR
T2Run46 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run47 Project Analysis,Upgrade,18843048.0,58.599998474121094
T2Run47 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run48 Project Analysis,Upgrade,21088016.0,63.5
T2Run48 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run49 Project Analysis,Upgrade,23933344.0,70.87000274658203
T2Run49 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run50 Project Analysis,Upgrade,53840384.0,144.2100067138672
T2Run50 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run51 Project Analysis,Upgrade,52143040.0,140.35000610351562
T2Run51 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run52 Project Analysis,Upgrade,54915408.0,146.69000244140625
T2Run52 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run53 Project Analysis,Upgrade,53226656.0,143.02000427246094
T2Run53 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run54 Project Analysis,Upgrade,54242912.0,145.57000732421875
T2Run54 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run55 Project Analysis,Upgrade,60029348.0,158.75999450683594
T2Run55 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run56 Project Analysis,Upgrade,66253668.0,174.97999572753906
T2Run56 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run57 Project Analysis,Upgrade,275142880.0,708.4099731445312
T2Run57 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run58 Project Analysis,Upgrade,266877600.0,687.7100219726562
T2Run58 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run59 Project Analysis,Upgrade,280329856.0,721.4099731445312
T2Run59 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run60 Project Analysis,Upgrade,271884448.0,700.3900146484375
T2Run60 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run61 Project Analysis,Upgrade,276512160.0,712.0
T2Run61 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run62 Project Analysis,Upgrade,304614560.0,782.4000244140625
T2Run62 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run63 Project Analysis,Upgrade,332194144.0,851.5800170898438
T2Run63 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run64 Project Analysis,Upgrade,19235782.0,59.130001068115234
T2Run64 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
