Run Title,Alternative,NPV,IRR,AVE_IRI,
T5Run40 Project Analysis,Reconstruction,261294288,62.52999878,2.480000019,79
T5Run40 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,80
T5Run41 Project Analysis,Reconstruction,244328272,61.81999969,2.480000019,81
T5Run41 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,82
T5Run42 Project Analysis,Reconstruction,206146176,57.81000137,2.480000019,83
T5Run42 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,84
T5Run43 Project Analysis,Reconstruction,53718480,40.84000015,2.920000076,85
T5Run43 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.989999771,86
T5Run44 Project Analysis,Reconstruction,54681488,41.84999847,2.920000076,87
T5Run44 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.989999771,88
T5Run45 Project Analysis,Reconstruction,54055264,41.29000092,2.920000076,89
T5Run45 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.989999771,90
T5Run46 Project Analysis,Reconstruction,54426344,42.61999893,2.920000076,91
T5Run46 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.989999771,92
T5Run47 Project Analysis,Reconstruction,50073552,41.27999878,2.920000076,93
T5Run47 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.989999771,94
T5Run48 Project Analysis,Reconstruction,45136824,39.24000168,2.920000076,95
T5Run48 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.989999771,96
T5Run49 Project Analysis,Reconstruction,35225148,35.02000046,2.920000076,97
T5Run49 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.989999771,98
T5Run50 Project Analysis,Reconstruction,478017024,194.6199951,3.019999981,99
T5Run50 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.23999977,100
T5Run51 Project Analysis,Reconstruction,477605408,200.0899963,3.019999981,101
T5Run51 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.23999977,102
T5Run52 Project Analysis,Reconstruction,477644544,196.5399933,3.019999981,103
T5Run52 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.23999977,104
T5Run53 Project Analysis,Reconstruction,467149408,203.3699951,3.019999981,105
T5Run53 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.23999977,106
T5Run54 Project Analysis,Reconstruction,429461984,197.2299957,3.019999981,107
T5Run54 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.25,108
T5Run55 Project Analysis,Reconstruction,398590144,184.8099976,3.019999981,109
T5Run55 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.25,110
T5Run56 Project Analysis,Reconstruction,326474816,164.4600067,3.019999981,111
T5Run56 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.25,112
T5Run57 Project Analysis,Reconstruction,1243198080,426.3299866,3.119999886,113
T5Run57 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.32999992,114
T5Run58 Project Analysis,Reconstruction,1241650816,442.4200134,3.119999886,115
T5Run58 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.32999992,116
T5Run59 Project Analysis,Reconstruction,1242093056,432.3699951,3.119999886,117
T5Run59 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.32999992,118
T5Run60 Project Analysis,Reconstruction,1213920640,453.9100037,3.119999886,119
T5Run60 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.32999992,120
T5Run61 Project Analysis,Reconstruction,1118019840,441.0700073,3.119999886,121
T5Run61 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.32999992,122
T5Run62 Project Analysis,Reconstruction,1040434496,412.2399902,3.119999886,123
T5Run62 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.32999992,124
T5Run63 Project Analysis,Reconstruction,856617472,366.5899963,3.119999886,125
T5Run63 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.32999992,126
T5Run64 Project Analysis,Reconstruction,107323336,80.73999786,3.529999971,127
T5Run64 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.77999973,128
T5Run65 Project Analysis,Reconstruction,107224240,81.66000366,3.529999971,129
T5Run65 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.77999973,130
T5Run66 Project Analysis,Reconstruction,107165320,80.84999847,3.529999971,131
T5Run66 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.77999973,132
T5Run67 Project Analysis,Reconstruction,104535864,81.13999939,3.529999971,133
T5Run67 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.77999973,134
T5Run68 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.77999973,135
T5Run68 Project Analysis,Reseal,53510408,51.63000107,9.020000458,136
T5Run69 Project Analysis,Reconstruction,87026504,71.69999695,3.529999971,137
T5Run69 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.77999973,138
T5Run70 Project Analysis,Reconstruction,68720440,62.04999924,3.529999971,139
T5Run70 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.77999973,140
T5Run71 Project Analysis,Reconstruction,650514176,624.7800293,3.980000019,141
T5Run71 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,142
T5Run72 Project Analysis,Reconstruction,645774208,623.1199951,3.980000019,143
T5Run72 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,144
T5Run73 Project Analysis,Reconstruction,648866624,623.6900024,3.980000019,145
T5Run73 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,146
