Run,Run Title,Alternative,NPV,IRR,AVE_IRI
89,T4Run89 Project Analysis,Overlay,136700736,97.33000183,4.5
90,T4Run90 Project Analysis,Overlay,123774072,87.72000122,4.5
91,T4Run91 Project Analysis,Overlay,98723672,76.73999786,4.5
92,T4Run92 Project Analysis,Overlay,796717376,385.0499878,5.03000021
93,T4Run93 Project Analysis,Overlay,789052096,392.9700012,5.03000021
94,T4Run94 Project Analysis,Overlay,792290368,385.6499939,5.03000021
95,T4Run95 Project Analysis,Overlay,762041984,392.5,5.039999962
96,T4Run96 Project Analysis,Overlay,696619584,382.0599976,5.050000191
97,T4Run97 Project Analysis,Overlay,641148672,341.2799988,5.050000191
98,T4Run98 Project Analysis,Overlay,520066208,297.8699951,5.059999943
99,T4Run99 Project Analysis,Overlay,2157860864,-9999.990234,6.309999943
100,T4Run100 Project Analysis,Overlay,2125891456,-9999.990234,6.309999943
101,T4Run101 Project Analysis,Overlay,2142540416,-9999.990234,6.309999943
102,T4Run102 Project Analysis,Overlay,2040026624,-9999.990234,6.320000172
103,T4Run103 Project Analysis,Overlay,1850475392,-9999.990234,6.329999924
104,T4Run104 Project Analysis,Overlay,1713385600,-9999.990234,6.329999924
105,T4Run105 Project Analysis,Overlay,1381189376,869.2199707,6.349999905
106,T4Run106 Project Analysis,Overlay,15932162,34.18000031,2.660000086
107,T4Run107 Project Analysis,Overlay,16507924,34.93999863,2.660000086
108,T4Run108 Project Analysis,Overlay,16181497,34.58000183,2.660000086
109,T4Run109 Project Analysis,Overlay,16797768,35.54999924,2.660000086
110,T4Run110 Project Analysis,Overlay,15696457,34.47999954,2.660000086
111,T4Run111 Project Analysis,Overlay,14195844,33.40000153,2.670000076
112,T4Run112 Project Analysis,Overlay,11240548,30.37000084,2.670000076
113,T4Run113 Project Analysis,Overlay,127323880,94.5,2.599999905
114,T4Run114 Project Analysis,Overlay,129477936,96.83999634,2.599999905
115,T4Run115 Project Analysis,Overlay,128222992,95.84999847,2.599999905
116,T4Run116 Project Analysis,Overlay,129665816,98.98000336,2.609999895
117,T4Run117 Project Analysis,Overlay,122036952,96.05999756,2.609999895
118,T4Run118 Project Analysis,Overlay,113113200,94.56999969,2.609999895
119,T4Run119 Project Analysis,Overlay,95244992,87.75,2.619999886
120,T4Run120 Project Analysis,Overlay,276661696,112.9199982,2.619999886
121,T4Run121 Project Analysis,Overlay,279935008,115.4300003,2.630000114
122,T4Run122 Project Analysis,Overlay,278058016,114.25,2.619999886
123,T4Run123 Project Analysis,Overlay,278386848,117.2099991,2.630000114
124,T4Run124 Project Analysis,Overlay,260657552,112.9899979,2.640000105
