Run,Run Title,Alternative,NPV,IRR,AVE_IRI
55,T3Run55 Project Analysis,Upgrade,60029348,158.7599945,5.579999924
56,T3Run56 Project Analysis,Upgrade,66253668,174.9799957,5.670000076
57,T3Run57 Project Analysis,Upgrade,275142880,708.4099731,6.5
58,T3Run58 Project Analysis,Upgrade,266877600,687.710022,6.309999943
59,T3Run59 Project Analysis,Upgrade,280329856,721.4099731,6.599999905
60,T3Run60 Project Analysis,Upgrade,271884448,700.3900146,6.380000114
61,T3Run61 Project Analysis,Upgrade,276512160,712,6.369999886
62,T3Run62 Project Analysis,Upgrade,304614560,782.4000244,6.989999771
63,T3Run63 Project Analysis,Upgrade,332194144,851.5800171,7.130000114
64,T3Run64 Project Analysis,Upgrade,19235782,59.13000107,4.980000019
65,T3Run65 Project Analysis,Upgrade,18562636,57.68999863,4.900000095
66,T3Run66 Project Analysis,Upgrade,19665382,60.06000137,5.03000021
67,T3Run67 Project Analysis,Upgrade,18995946,58.68000031,4.929999828
68,T3Run68 Project Analysis,Upgrade,19435710,59.77000046,4.920000076
69,T3Run69 Project Analysis,Upgrade,21719656,64.61000061,5.199999809
70,T3Run70 Project Analysis,Upgrade,24509804,71.84999847,5.269999981
71,T3Run71 Project Analysis,Upgrade,54762656,145.75,5.460000038
72,T3Run72 Project Analysis,Upgrade,53034284,141.8800049,5.340000153
73,T3Run73 Project Analysis,Upgrade,55854380,148.2299957,5.53000021
74,T3Run74 Project Analysis,Upgrade,54097540,144.3800049,5.380000114
75,T3Run75 Project Analysis,Upgrade,55111864,146.9199982,5.380000114
76,T3Run76 Project Analysis,Upgrade,61000540,160.1300049,5.760000229
77,T3Run77 Project Analysis,Upgrade,67161056,176.1699982,5.849999905
78,T3Run78 Project Analysis,Upgrade,276879392,708.6300049,6.480000019
79,T3Run79 Project Analysis,Upgrade,268548928,687.9199829,6.289999962
80,T3Run80 Project Analysis,Upgrade,282101344,721.6199951,6.579999924
81,T3Run81 Project Analysis,Upgrade,273569344,700.4799805,6.369999886
82,T3Run82 Project Analysis,Upgrade,278193120,712.0900269,6.360000134
83,T3Run83 Project Analysis,Upgrade,306508704,782.4899902,6.96999979
