Run,Run Title,Alternative,NPV,IRR,AVE_IRI,
166,T3Run166 Project Analysis,Regravelling,310944320,-9999.990234,8.43999958,166
167,T3Run167 Project Analysis,Regravelling,338300736,-9999.990234,8.979999542,167
168,T3Run168 Project Analysis,Regravelling,291456000,-9999.990234,9.109999657,168
169,T3Run169 Project Analysis,Regravelling,29957934,-9999.990234,6.550000191,169
170,T3Run170 Project Analysis,Regravelling,27942126,846.0100098,6.519999981,170
171,T3Run171 Project Analysis,Regravelling,30449330,-9999.990234,6.559999943,171
172,T3Run172 Project Analysis,Regravelling,27324078,790.6500244,6.53000021,172
173,T3Run173 Project Analysis,Regravelling,24350238,595.7399902,6.53000021,173
174,T3Run174 Project Analysis,Regravelling,27232250,695.4199829,6.630000114,174
175,T3Run175 Project Analysis,Regravelling,22669040,475.9599915,6.650000095,175
176,T3Run176 Project Analysis,Regravelling,78428720,-9999.990234,6.860000134,176
177,T3Run177 Project Analysis,Regravelling,73651424,-9999.990234,6.809999943,177
178,T3Run178 Project Analysis,Regravelling,79628464,-9999.990234,6.889999866,178
179,T3Run179 Project Analysis,Regravelling,72043072,-9999.990234,6.820000172,179
180,T3Run180 Project Analysis,Regravelling,65268624,-9999.990234,6.820000172,180
181,T3Run181 Project Analysis,Regravelling,72322304,-9999.990234,6.989999771,181
182,T3Run182 Project Analysis,Regravelling,61646252,-9999.990234,7.03000021,182
183,T3Run183 Project Analysis,Regravelling,366642048,-9999.990234,8.609999657,183
184,T3Run184 Project Analysis,Regravelling,346286688,-9999.990234,8.43999958,184
185,T3Run185 Project Analysis,Regravelling,371371904,-9999.990234,8.699999809,185
186,T3Run186 Project Analysis,Regravelling,338338496,-9999.990234,8.5,186
187,T3Run187 Project Analysis,Regravelling,313258880,-9999.990234,8.489999771,187
188,T3Run188 Project Analysis,Regravelling,340898912,-9999.990234,9.039999962,188
189,T3Run189 Project Analysis,Regravelling,293921440,-9999.990234,9.159999847,189
190,T3Run190 Project Analysis,Regravelling,29453012,591.1699829,6.630000114,190
191,T3Run191 Project Analysis,Regravelling,27629180,554.210022,6.599999905,191
192,T3Run192 Project Analysis,Regravelling,29815708,601.2399902,6.650000095,192
193,T3Run193 Project Analysis,Regravelling,26885868,544.9699707,6.610000134,193
194,T3Run194 Project Analysis,Regravelling,23902806,464.6300049,6.610000134,194
195,T3Run195 Project Analysis,Regravelling,26058118,507.1400146,6.710000038,195
196,T3Run196 Project Analysis,Regravelling,21868034,423.6900024,6.730000019,196
197,T3Run197 Project Analysis,Regravelling,75101912,-9999.990234,6.940000057,197
198,T3Run198 Project Analysis,Regravelling,70842192,-9999.990234,6.889999866,198
199,T3Run199 Project Analysis,Regravelling,76045528,-9999.990234,6.96999979,199
200,T3Run200 Project Analysis,Regravelling,68978000,-9999.990234,6.909999847,200
201,T3Run201 Project Analysis,Regravelling,62268816,-9999.990234,6.900000095,201
202,T3Run202 Project Analysis,Regravelling,67693768,-9999.990234,7.070000172,202
203,T3Run203 Project Analysis,Regravelling,58198796,-9999.990234,7.110000134,203
204,T3Run204 Project Analysis,Regravelling,339358080,-9999.990234,8.670000076,204
205,T3Run205 Project Analysis,Regravelling,321334752,-9999.990234,8.5,205
206,T3Run206 Project Analysis,Regravelling,342878912,-9999.990234,8.760000229,206
207,T3Run207 Project Analysis,Regravelling,312162976,-9999.990234,8.56000042,207
208,T3Run208 Project Analysis,Regravelling,287226336,-9999.990234,8.550000191,208
209,T3Run209 Project Analysis,Regravelling,307321408,-9999.990234,9.100000381,209
210,T3Run210 Project Analysis,Regravelling,268672192,-9999.990234,9.220000267,210
211,T3Run211 Project Analysis,Regravelling,22739840,-9999.990234,7.199999809,211
212,T3Run212 Project Analysis,Regravelling,22962028,-9999.990234,6.760000229,212
213,T3Run213 Project Analysis,Regravelling,23061444,-9999.990234,7.25,213
214,T3Run214 Project Analysis,Regravelling,22436498,-9999.990234,6.789999962,214
215,T3Run215 Project Analysis,Regravelling,20203170,-9999.990234,6.78000021,215
216,T3Run216 Project Analysis,Regravelling,22733936,-9999.990234,7.039999962,216
217,T3Run217 Project Analysis,Regravelling,20257304,849.9699707,6.75,217
218,T3Run218 Project Analysis,Regravelling,56872852,-9999.990234,8.079999924,218
219,T3Run219 Project Analysis,Regravelling,58917356,-9999.990234,7.449999809,219
220,T3Run220 Project Analysis,Regravelling,63497608,-9999.990234,7.639999866,220
221,T3Run221 Project Analysis,Regravelling,57977152,-9999.990234,7.489999771,221
222,T3Run222 Project Analysis,Regravelling,57230736,-9999.990234,7.090000153,222
223,T3Run223 Project Analysis,Regravelling,63753820,-9999.990234,7.400000095,223
224,T3Run224 Project Analysis,Regravelling,58175196,-9999.990234,7.110000134,224
225,T3Run225 Project Analysis,Regravelling,299887680,-9999.990234,9.840000153,225
226,T3Run226 Project Analysis,Regravelling,283038656,-9999.990234,9.569999695,226
227,T3Run227 Project Analysis,Regravelling,302619328,-9999.990234,9.979999542,227
228,T3Run228 Project Analysis,Regravelling,307337952,-9999.990234,9.140000343,228
229,T3Run229 Project Analysis,Regravelling,285546560,-9999.990234,9.130000114,229
230,T3Run230 Project Analysis,Regravelling,310073984,-9999.990234,9.87,230
231,T3Run231 Project Analysis,Regravelling,291335104,-9999.990234,9.529999733,231
232,T3Run232 Project Analysis,Regravelling,22739840,-9999.990234,7.199999809,232
