Run Title,Alternative,NPV,IRR,AVE_IRI
T6Run1 Project Analysis,Reseal,-5378735.5,-14.619999885559082,4.630000114440918
T6Run1 Project Analysis,Overlay,4816610.0,23.420000076293945,2.7100000381469727
T6Run2 Project Analysis,Reseal,-5322082.0,-14.220000267028809,4.630000114440918
T6Run2 Project Analysis,Overlay,5361009.5,24.489999771118164,2.7100000381469727
T6Run3 Project Analysis,Reseal,-5374773.5,-15.0,4.630000114440918
T6Run3 Project Analysis,Overlay,5100034.0,23.989999771118164,2.7100000381469727
T6Run4 Project Analysis,Reseal,-5314400.0,-15.069999694824219,4.630000114440918
T6Run4 Project Analysis,Overlay,5874602.0,25.489999771118164,2.7100000381469727
T6Run5 Project Analysis,Reseal,-5395472.0,-16.219999313354492,4.630000114440918
T6Run5 Project Analysis,Overlay,5350985.5,24.350000381469727,2.7100000381469727
T6Run6 Project Analysis,Reseal,-5545442.0,-23.239999771118164,4.630000114440918
T6Run6 Project Analysis,Overlay,4895641.0,23.729999542236328,2.7100000381469727
T6Run7 Project Analysis,Reseal,-5804419.5,-35.599998474121094,4.639999866485596
T6Run7 Project Analysis,Overlay,3449114.0,20.65999984741211,2.7100000381469727
T6Run8 Project Analysis,Reseal,27990022.0,33.65999984741211,4.460000038146973
T6Run8 Project Analysis,Overlay,63380180.0,75.86000061035156,2.700000047683716
T6Run9 Project Analysis,Reseal,28570842.0,34.2599983215332,4.460000038146973
T6Run9 Project Analysis,Overlay,65656992.0,78.33999633789062,2.700000047683716
T6Run10 Project Analysis,Reseal,27992466.0,33.83000183105469,4.460000038146973
T6Run10 Project Analysis,Overlay,64408148.0,77.1500015258789,2.700000047683716
T6Run11 Project Analysis,Reseal,28394770.0,34.619998931884766,4.46999979019165
T6Run11 Project Analysis,Overlay,67369672.0,80.62000274658203,2.7100000381469727
T6Run12 Project Analysis,Reseal,26809314.0,33.79999923706055,4.480000019073486
T6Run12 Project Analysis,Overlay,64446072.0,77.66000366210938,2.7200000286102295
T6Run13 Project Analysis,Reseal,23619636.0,32.77000045776367,4.480000019073486
T6Run13 Project Analysis,Overlay,60304944.0,77.26000213623047,2.7200000286102295
T6Run14 Project Analysis,Reseal,18579840.0,29.979999542236328,4.489999771118164
T6Run14 Project Analysis,Overlay,51532712.0,70.66000366210938,2.740000009536743
T6Run15 Project Analysis,Reseal,156134432.0,65.06999969482422,4.670000076293945
T6Run15 Project Analysis,Overlay,252378720.0,194.77999877929688,2.819999933242798
T6Run16 Project Analysis,Reseal,157743024.0,67.05000305175781,4.679999828338623
T6Run16 Project Analysis,Overlay,258943136.0,204.24000549316406,2.8299999237060547
T6Run17 Project Analysis,Reseal,156243776.0,65.87999725341797,4.679999828338623
T6Run17 Project Analysis,Overlay,255459776.0,199.82000732421875,2.8299999237060547
T6Run18 Project Analysis,Reseal,156527744.0,69.0,4.710000038146973
T6Run18 Project Analysis,Overlay,263710640.0,215.14999389648438,2.8499999046325684
T6Run19 Project Analysis,Reseal,147163216.0,67.43000030517578,4.739999771118164
T6Run19 Project Analysis,Overlay,252186080.0,209.4600067138672,2.880000114440918
T6Run20 Project Analysis,Reseal,135418288.0,67.12999725341797,4.75
T6Run20 Project Analysis,Overlay,237208704.0,210.9499969482422,2.890000104904175
T6Run21 Project Analysis,Reseal,111560144.0,62.15999984741211,4.800000190734863
T6Run21 Project Analysis,Overlay,204735632.0,194.82000732421875,2.9200000762939453
T6Run22 Project Analysis,Reseal,-5164642.5,-10.8100004196167,4.639999866485596
T6Run22 Project Analysis,Overlay,5053266.5,23.790000915527344,2.7100000381469727
T6Run23 Project Analysis,Reseal,-5104369.0,-10.4399995803833,4.639999866485596
T6Run23 Project Analysis,Overlay,5602168.5,24.850000381469727,2.7100000381469727
T6Run24 Project Analysis,Reseal,-5161707.0,-11.079999923706055,4.639999866485596
T6Run24 Project Analysis,Overlay,5336098.0,24.3700008392334,2.7100000381469727
T6Run25 Project Analysis,Reseal,-5100017.5,-11.100000381469727,4.639999866485596
T6Run25 Project Analysis,Overlay,6113247.5,25.829999923706055,2.7100000381469727
T6Run26 Project Analysis,Reseal,-5188736.0,-12.079999923706055,4.639999866485596
T6Run26 Project Analysis,Overlay,5581655.5,24.700000762939453,2.7200000286102295
T6Run27 Project Analysis,Reseal,-5366539.5,-17.25,4.639999866485596
T6Run27 Project Analysis,Overlay,5095918.0,24.040000915527344,2.7200000286102295
T6Run28 Project Analysis,Reseal,-5653404.5,-26.149999618530273,4.639999866485596
T6Run28 Project Analysis,Overlay,3619035.25,20.959999084472656,2.7200000286102295
T6Run29 Project Analysis,Reseal,33633288.0,37.939998626708984,4.460000038146973
T6Run29 Project Analysis,Overlay,68293312.0,81.29000091552734,2.7200000286102295
T6Run30 Project Analysis,Reseal,34268600.0,38.689998626708984,4.460000038146973
T6Run30 Project Analysis,Overlay,70591424.0,83.97000122070312,2.7200000286102295
T6Run31 Project Analysis,Reseal,33658268.0,38.220001220703125,4.460000038146973
T6Run31 Project Analysis,Overlay,69327248.0,82.7300033569336,2.7200000286102295
T6Run32 Project Analysis,Reseal,34043256.0,39.18000030517578,4.460000038146973
T6Run32 Project Analysis,Overlay,72219632.0,86.4800033569336,2.7300000190734863
T6Run33 Project Analysis,Reseal,32076664.0,38.15999984741211,4.46999979019165
T6Run33 Project Analysis,Overlay,68941592.0,83.16000366210938,2.740000009536743
T6Run34 Project Analysis,Reseal,28546220.0,37.20000076293945,4.46999979019165
T6Run34 Project Analysis,Overlay,64460128.0,82.75,2.740000009536743
T6Run35 Project Analysis,Reseal,22693266.0,34.029998779296875,4.489999771118164
T6Run35 Project Analysis,Overlay,54938300.0,75.37999725341797,2.759999990463257
T6Run36 Project Analysis,Reseal,181487680.0,85.19000244140625,4.679999828338623
T6Run36 Project Analysis,Overlay,274693952.0,218.17999267578125,2.859999895095825
T6Run37 Project Analysis,Reseal,183155136.0,88.19999694824219,4.690000057220459
T6Run37 Project Analysis,Overlay,281147520.0,228.41000366210938,2.869999885559082
T6Run38 Project Analysis,Reseal,181628016.0,86.58000183105469,4.690000057220459
T6Run38 Project Analysis,Overlay,277708064.0,223.8800048828125,2.859999895095825
T6Run39 Project Analysis,Reseal,181244224.0,91.13999938964844,4.710000038146973
T6Run39 Project Analysis,Overlay,284960640.0,240.08999633789062,2.880000114440918
T6Run40 Project Analysis,Reseal,169773264.0,88.25,4.739999771118164
T6Run40 Project Analysis,Overlay,271297408.0,232.74000549316406,2.9100000858306885
T6Run41 Project Analysis,Reseal,156440288.0,88.2699966430664,4.75
T6Run41 Project Analysis,Overlay,254649184.0,233.82000732421875,2.9100000858306885
T6Run42 Project Analysis,Reseal,128908984.0,80.58999633789062,4.789999961853027
T6Run42 Project Analysis,Overlay,218619408.0,214.13999938964844,2.950000047683716
