Run,Run Title,Alternative,NPV,IRR,AVE_IRI,
79 ,T6Run79 Project Analysis,Overlay,1587420544,624.710022,4.739999771,158
80 ,T6Run80 Project Analysis,Overlay,1587925120,609.5700073,4.730000019,160
81 ,T6Run81 Project Analysis,Overlay,1545224064,654.8699951,4.769999981,162
82 ,T6Run82 Project Analysis,Overlay,1424451456,639.539978,4.809999943,164
83 ,T6Run83 Project Analysis,Overlay,1311245952,605.25,4.820000172,166
84 ,T6Run84 Project Analysis,Overlay,1074969344,542.5300293,4.880000114,168
85 ,T6Run85 Project Analysis,Overlay,140394864,90.83000183,4.610000134,170
86 ,T6Run86 Project Analysis,Overlay,139904736,92.62000275,4.610000134,172
87 ,T6Run87 Project Analysis,Overlay,139725952,90.98000336,4.610000134,174
88 ,T6Run88 Project Analysis,Overlay,135700144,92.58000183,4.610000134,176
89 ,T6Run89 Project Analysis,Overlay,124689920,90.15000153,4.619999886,178
90 ,T6Run90 Project Analysis,Overlay,112334880,81.13999939,4.619999886,180
91 ,T6Run91 Project Analysis,Overlay,89490664,71.05999756,4.630000114,182
92 ,T6Run92 Project Analysis,Overlay,660428160,332.8699951,5.139999866,184
93 ,T6Run93 Project Analysis,Overlay,655922304,342.2099915,5.139999866,186
94 ,T6Run94 Project Analysis,Overlay,656710144,334.3099976,5.139999866,188
95 ,T6Run95 Project Analysis,Overlay,634555648,344.5100098,5.159999847,190
96 ,T6Run96 Project Analysis,Overlay,583682816,336.4299927,5.170000076,192
97 ,T6Run97 Project Analysis,Overlay,532853248,300.1000061,5.179999828,194
98 ,T6Run98 Project Analysis,Overlay,432636512,262.7799988,5.210000038,196
99 ,T6Run99 Project Analysis,Overlay,1774169728,871.789978,6.309999943,198
100 ,T6Run100 Project Analysis,Overlay,1751578880,894.2000122,6.320000172,200
101 ,T6Run101 Project Analysis,Overlay,1761015296,874.0100098,6.309999943,202
102 ,T6Run102 Project Analysis,Overlay,1682266240,896.1199951,6.340000153,204
