Run,Run Title,Alternative,NPV,IRR,AVE_IRI,
79 ,T6Run79 Project Analysis,Reseal,232258992,249.2700043,12.89999962,157
80 ,T6Run80 Project Analysis,Reseal,234942528,242.3800049,12.89999962,159
81 ,T6Run81 Project Analysis,Reseal,221372480,246.4799957,12.89999962,161
82 ,T6Run82 Project Analysis,Reseal,197462992,243.3899994,12.90999985,163
83 ,T6Run83 Project Analysis,Reseal,184122000,214.6199951,12.89999962,165
84 ,T6Run84 Project Analysis,Reseal,145868048,192.1999969,12.90999985,167
85 ,T6Run85 Project Analysis,Reseal,10214977,35.63999939,12.93999958,169
86 ,T6Run86 Project Analysis,Reseal,9631483,34.77000046,12.93999958,171
87 ,T6Run87 Project Analysis,Reseal,10027255,35.20999908,12.93999958,173
88 ,T6Run88 Project Analysis,Reseal,8585162,32.91999817,12.93999958,175
89 ,T6Run89 Project Analysis,Reseal,6417477,29.54999924,12.94999981,177
90 ,T6Run90 Project Analysis,Reseal,5285647.5,26.45000076,12.94999981,179
91 ,T6Run91 Project Analysis,Reseal,1860264.63,18.5,12.94999981,181
92 ,T6Run92 Project Analysis,Reseal,77530240,136.6000061,13.43999958,183
93 ,T6Run93 Project Analysis,Reseal,75449520,134.5500031,13.43999958,185
94 ,T6Run94 Project Analysis,Reseal,76800736,134.8200073,13.43999958,187
95 ,T6Run95 Project Analysis,Reseal,71203896,128.5899963,13.43999958,189
96 ,T6Run96 Project Analysis,Reseal,62015860,123.0999985,13.43999958,191
97 ,T6Run97 Project Analysis,Reseal,57834260,108.8399963,13.43999958,193
98 ,T6Run98 Project Analysis,Reseal,43726340,92.31999969,13.43999958,195
99 ,T6Run99 Project Analysis,Reseal,216267008,357.730011,13.97999954,197
100 ,T6Run100 Project Analysis,Reseal,210852128,351.7399902,13.97999954,199
101 ,T6Run101 Project Analysis,Reseal,214528336,352.7600098,13.97999954,201
102 ,T6Run102 Project Analysis,Reseal,199835088,335.1199951,13.97999954,203
103 ,T6Run103 Project Analysis,Reseal,175614448,321.4500122,13.97999954,205
104 ,T6Run104 Project Analysis,Reseal,165933248,281.1499939,13.97999954,207
105 ,T6Run105 Project Analysis,Reseal,129923232,236.4600067,13.97999954,209
106 ,T6Run106 Project Analysis,Reseal,-4895254.5,-7.239999771,4.659999847,211
107 ,T6Run107 Project Analysis,Reseal,-4828743.5,-6.949999809,4.659999847,213
108 ,T6Run108 Project Analysis,Reseal,-4893474,-7.429999828,4.659999847,215
109 ,T6Run109 Project Analysis,Reseal,-4827684.5,-7.400000095,4.659999847,217
110 ,T6Run110 Project Analysis,Reseal,-4928431.5,-8.220000267,4.659999847,219
111 ,T6Run111 Project Analysis,Reseal,-5134034,-12.11999989,4.659999847,221
112 ,T6Run112 Project Analysis,Reseal,-5463023,-18.15999985,4.659999847,223
113 ,T6Run113 Project Analysis,Reseal,42184356,37.93999863,4.480000019,225
114 ,T6Run114 Project Analysis,Reseal,42762336,38.54999924,4.480000019,227
115 ,T6Run115 Project Analysis,Reseal,42125032,38.11999893,4.480000019,229
116 ,T6Run116 Project Analysis,Reseal,42290324,38.90000153,4.489999771,231
117 ,T6Run117 Project Analysis,Reseal,39707392,38,4.489999771,233
118 ,T6Run118 Project Analysis,Reseal,35456336,37,4.5,235
119 ,T6Run119 Project Analysis,Reseal,28370780,34.15999985,4.510000229,237
120 ,T6Run120 Project Analysis,Reseal,210839584,70.51999664,4.699999809,239
121 ,T6Run121 Project Analysis,Reseal,211876000,72.62000275,4.710000038,241
122 ,T6Run122 Project Analysis,Reseal,210682816,71.37999725,4.710000038,243
123 ,T6Run123 Project Analysis,Reseal,208899360,74.68000031,4.739999771,245
124 ,T6Run124 Project Analysis,Reseal,195138896,72.98999786,4.769999981,247
125 ,T6Run125 Project Analysis,Reseal,179711392,72.73000336,4.78000021,249
126 ,T6Run126 Project Analysis,Reseal,147757904,67.41000366,4.829999924,251
127 ,T6Run127 Project Analysis,Reseal,-4617205,-4.449999809,4.659999847,253
128 ,T6Run128 Project Analysis,Reseal,-4548216,-4.190000057,4.659999847,255
129 ,T6Run129 Project Analysis,Reseal,-4617332.5,-4.610000134,4.659999847,257
130 ,T6Run130 Project Analysis,Reseal,-4553834,-4.599999905,4.670000076,259
131 ,T6Run131 Project Analysis,Reseal,-4665431.5,-5.340000153,4.670000076,261
132 ,T6Run132 Project Analysis,Reseal,-4907659.5,-8.600000381,4.670000076,263
133 ,T6Run133 Project Analysis,Reseal,-5274051,-13.48999977,4.670000076,265
134 ,T6Run134 Project Analysis,Reseal,50042420,42.86999893,4.46999979,267
