Run,Run Title,Alternative,NPV,IRR,AVE_IRI,
70 ,T5Run70 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.77999973,140
71 ,T5Run71 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,142
72 ,T5Run72 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,144
73 ,T5Run73 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,146
74 ,T5Run74 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,148
75 ,T5Run75 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,150
76 ,T5Run76 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,152
77 ,T5Run77 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31999969,154
78 ,T5Run78 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,156
79 ,T5Run79 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,158
80 ,T5Run80 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,160
81 ,T5Run81 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,162
82 ,T5Run82 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,164
83 ,T5Run83 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,166
84 ,T5Run84 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,168
85 ,T5Run85 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.94999981,170
86 ,T5Run86 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,172
87 ,T5Run87 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,174
88 ,T5Run88 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,176
89 ,T5Run89 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,178
90 ,T5Run90 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,180
91 ,T5Run91 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,182
92 ,T5Run92 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,184
93 ,T5Run93 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,186
94 ,T5Run94 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,188
95 ,T5Run95 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,190
96 ,T5Run96 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,192
97 ,T5Run97 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,194
98 ,T5Run98 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,196
99 ,T5Run99 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18000031,198
100 ,T5Run100 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18000031,200
101 ,T5Run101 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18000031,202
102 ,T5Run102 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18999958,204
103 ,T5Run103 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18999958,206
104 ,T5Run104 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18999958,208
105 ,T5Run105 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18999958,210
106 ,T5Run106 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.789999962,212
107 ,T5Run107 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.789999962,214
108 ,T5Run108 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.789999962,216
